"age","passenger_count"
"0.42","1"
"0.67","1"
"0.75","2"
"0.83","2"
"0.92","1"
"1","7"
"2","10"
"3","6"
"4","10"
"5","4"
"6","3"
"7","3"
"8","4"
"9","8"
"10","2"
"11","4"
"12","1"
"13","2"
"14","6"
"14.5","1"
"15","5"
"16","17"
"17","13"
"18","26"
"19","25"
"20","15"
"20.5","1"
"21","24"
"22","27"
"23","15"
"23.5","1"
"24","30"
"24.5","1"
"25","23"
"26","18"
"27","18"
"28","25"
"28.5","2"
"29","20"
"30","25"
"30.5","2"
"31","17"
"32","18"
"32.5","2"
"33","15"
"34","15"
"34.5","1"
"35","18"
"36","22"
"36.5","1"
"37","6"
"38","11"
"39","14"
"40","13"
"40.5","2"
"41","6"
"42","13"
"43","5"
"44","9"
"45","12"
"45.5","2"
"46","3"
"47","9"
"48","9"
"49","6"
"50","10"
"51","7"
"52","6"
"53","1"
"54","8"
"55","2"
"55.5","1"
"56","4"
"57","2"
"58","5"
"59","2"
"60","4"
"61","3"
"62","4"
"63","2"
"64","2"
"65","3"
"66","1"
"70","2"
"70.5","1"
"71","2"
"74","1"
"80","1"
NULL,"177"
